iter	Passed	Remaining
568	3471	2629
569	3479	2625
570	3491	2623
571	3505	2623
572	3524	2626
573	3534	2622
574	3545	2620
575	3552	2615
576	3561	2610
577	3573	2608
578	3580	2603
579	3586	2597
580	3593	2591
581	3600	2585
582	3606	2579
583	3611	2572
584	3618	2567
585	3630	2565
586	3641	2562
587	3656	2562
588	3668	2559
589	3682	2559
590	3691	2554
591	3698	2548
592	3704	2542
593	3711	2536
594	3723	2534
595	3732	2529
596	3745	2528
597	3754	2524
598	3761	2518
599	3774	2516
600	3782	2511
601	3790	2506
602	3803	2504
603	3815	2501
604	3820	2494
605	3826	2487
606	3848	2491
607	3854	2484
608	3860	2478
609	3866	2472
610	3875	2467
611	3887	2464
612	3897	2460
613	3903	2453
614	3909	2447
615	3930	2450
616	3937	2443
617	3943	2437
618	3954	2434
619	3976	2437
620	3989	2434
621	4000	2431
622	4011	2427
623	4019	2421
624	4025	2415
625	4031	2408
626	4037	2402
627	4049	2398
628	4054	2391
629	4060	2384
630	4070	2380
631	4087	2380
632	4099	2376
633	4116	2376
634	4139	2379
635	4150	2375
636	4166	2374
637	4182	2372
638	4190	2367
639	4200	2363
640	4208	2356
641	4214	2349
642	4226	2346
643	4236	2341
644	4242	2335
645	4248	2328
646	4259	2324
647	4266	2317
648	4272	2310
649	4278	2303
650	4287	2298
651	4294	2291
652	4300	2285
653	4322	2286
654	4329	2280
655	4335	2273
656	4348	2270
657	4360	2266
658	4376	2264
659	4391	2262
660	4399	2256
661	4409	2251
662	4419	2246
663	4426	2239
664	4436	2234
665	4442	2228
666	4454	2223
667	4472	2222
668	4484	2218
669	4507	2219
670	4517	2215
671	4528	2210
672	4536	2204
673	4543	2197
674	4551	2191
675	4563	2187
676	4569	2180
677	4578	2174
678	4590	2170
679	4607	2168
680	4613	2161
681	4626	2157
682	4635	2151
683	4641	2144
684	4651	2139
685	4658	2132
686	4664	2125
687	4670	2117
688	4677	2111
689	4684	2104
690	4688	2096
691	4693	2088
692	4698	2081
693	4702	2073
694	4706	2065
695	4710	2057
696	4715	2049
697	4719	2041
698	4723	2034
699	4727	2026
700	4732	2018
701	4737	2010
702	4741	2003
703	4754	1999
704	4762	1992
705	4770	1986
706	4779	1980
707	4786	1974
708	4798	1969
709	4812	1965
710	4818	1958
711	4823	1950
712	4829	1944
713	4835	1936
714	4841	1929
715	4845	1921
716	4849	1913
717	4853	1906
718	4858	1898
719	4862	1891
720	4866	1883
721	4871	1875
722	4876	1868
723	4880	1860
724	4884	1852
725	4888	1844
726	4892	1837
727	4896	1829
728	4900	1821
729	4905	1814
730	4910	1807
731	4918	1800
732	4923	1793
733	4927	1785
734	4933	1778
735	4939	1771
736	4943	1764
737	4949	1757
738	4954	1749
739	4959	1742
740	4964	1735
741	4969	1727
742	4974	1720
743	4979	1713
744	4983	1705
745	4991	1699
746	4995	1691
747	5001	1684
748	5006	1677
749	5013	1671
750	5024	1665
751	5033	1659
752	5041	1653
753	5049	1647
754	5054	1640
755	5058	1632
756	5063	1625
757	5067	1617
758	5072	1610
759	5077	1603
760	5081	1595
761	5086	1588
762	5090	1581
763	5095	1573
764	5119	1572
765	5126	1566
766	5143	1562
767	5149	1555
768	5154	1548
769	5160	1541
770	5165	1534
771	5174	1528
772	5184	1522
773	5191	1515
774	5203	1510
775	5209	1503
776	5218	1497
777	5228	1492
778	5234	1485
779	5239	1477
780	5244	1470
781	5249	1463
782	5257	1456
783	5262	1449
784	5267	1442
785	5271	1435
786	5277	1428
787	5282	1421
788	5286	1413
789	5291	1406
790	5296	1399
791	5300	1392
792	5305	1384
793	5310	1377
794	5315	1370
795	5321	1363
796	5326	1356
797	5335	1350
798	5340	1343
799	5345	1336
800	5349	1328
801	5354	1321
802	5358	1314
803	5362	1307
804	5369	1300
805	5375	1293
806	5382	1287
807	5387	1280
808	5392	1273
809	5396	1265
810	5402	1258
811	5410	1252
812	5420	1246
813	5427	1240
814	5441	1235
815	5447	1228
816	5455	1222
817	5462	1215
818	5471	1209
819	5475	1201
820	5480	1194
821	5484	1187
822	5494	1181
823	5499	1174
824	5508	1168
825	5515	1161
826	5521	1155
827	5536	1150
828	5540	1142
829	5547	1136
830	5559	1130
831	5564	1123
832	5569	1116
833	5573	1109
834	5587	1104
835	5593	1097
836	5599	1090
837	5604	1083
838	5610	1076
839	5617	1069
840	5621	1062
841	5625	1055
842	5630	1048
843	5635	1041
844	5640	1034
845	5645	1027
846	5650	1020
847	5656	1013
848	5660	1006
849	5665	999
850	5670	992
851	5674	985
852	5679	978
853	5683	971
854	5688	964
855	5692	957
856	5701	951
857	5705	944
858	5709	937
859	5714	930
860	5718	923
861	5723	916
862	5728	909
863	5732	902
864	5737	895
865	5742	888
866	5746	881
867	5750	874
868	5755	867
869	5760	860
870	5765	853
871	5769	846
872	5773	839
873	5778	833
874	5782	826
875	5788	819
876	5795	812
877	5806	806
878	5810	799
879	5815	793
880	5820	786
881	5825	779
882	5830	772
883	5836	765
884	5840	758
885	5845	752
886	5852	745
887	5856	738
888	5863	732
889	5873	725
890	5880	719
891	5895	713
892	5903	707
893	5908	700
894	5919	694
895	5926	687
896	5935	681
897	5940	674
898	5954	668
899	5960	662
900	5965	655
901	5971	648
902	5981	642
903	5988	635
904	5995	629
905	6001	622
906	6011	616
907	6018	609
908	6022	602
909	6027	596
910	6034	589
911	6041	582
912	6046	576
913	6050	569
914	6055	562
915	6060	555
916	6065	548
917	6069	542
918	6075	535
919	6080	528
920	6084	521
921	6090	515
922	6095	508
923	6100	501
924	6106	495
925	6110	488
926	6117	481
927	6122	475
928	6126	468
929	6130	461
930	6135	454
931	6141	448
932	6146	441
933	6151	434
934	6156	427
935	6161	421
936	6166	414
937	6171	407
938	6175	401
939	6179	394
940	6184	387
941	6189	381
942	6199	374
943	6206	368
944	6211	361
945	6217	354
946	6226	348
947	6241	342
948	6246	335
949	6255	329
950	6261	322
951	6266	315
952	6271	309
953	6278	302
954	6284	296
955	6290	289
956	6294	282
957	6298	276
958	6303	269
959	6308	262
960	6312	256
961	6317	249
962	6322	242
963	6326	236
964	6330	229
965	6335	222
966	6340	216
967	6344	209
968	6348	203
969	6353	196
970	6358	189
971	6365	183
972	6369	176
973	6373	170
974	6377	163
975	6381	156
976	6386	150
977	6391	143
978	6396	137
979	6401	130
980	6405	124
981	6410	117
982	6414	110
983	6418	104
984	6422	97
985	6426	91
986	6430	84
987	6434	78
988	6439	71
989	6444	65
990	6448	58
991	6456	52
992	6461	45
993	6465	39
994	6469	32
995	6473	25
996	6477	19
997	6481	12
998	6486	6
999	6491	0
